price,bedrooms,bathrooms,floors,grade,long,lat,zipcode,year,sqft_above,view,HouseAgeGroup
221900.0,3,1.0,1.0,7,-122.257,47.5112,66,2014,1180,0.0,3
538000.0,3,2.0,2.0,7,-122.319,47.721,55,2014,2170,0.0,3
180000.0,2,1.0,1.0,6,-122.233,47.7379,16,2015,770,0.0,4
604000.0,4,3.0,1.0,7,-122.393,47.5208,58,2014,1050,0.0,3
510000.0,3,2.0,1.0,8,-122.045,47.6168,37,2015,1680,0.0,2
1230000.0,4,4.0,1.0,11,-122.005,47.6561,29,2014,3890,0.0,1
257500.0,3,2.0,2.0,7,-122.327,47.3097,2,2014,1715,0.0,2
291850.0,3,2.0,1.0,7,-122.315,47.4095,68,2015,1060,0.0,3
229500.0,3,1.0,1.0,7,-122.337,47.5123,60,2015,1050,0.0,3
323000.0,3,2.0,2.0,7,-122.031,47.3684,23,2015,1890,0.0,1
662500.0,3,2.0,1.0,8,-122.145,47.6007,6,2015,1860,0.0,3
468000.0,2,1.0,1.0,7,-122.292,47.69,49,2014,860,0.0,4
310000.0,3,1.0,2.0,7,-122.229,47.7558,16,2014,1430,0.0,4
400000.0,3,2.0,1.0,7,-122.045,47.6127,37,2014,1370,0.0,2
530000.0,5,2.0,2.0,7,-122.394,47.67,45,2015,1810,0.0,4
650000.0,4,3.0,2.0,9,-122.375,47.5714,56,2015,1980,3.0,2
395000.0,3,2.0,2.0,7,-121.962,47.7277,11,2014,1890,0.0,2
485000.0,4,1.0,2.0,7,-122.343,47.6648,42,2014,1600,0.0,4
189000.0,2,1.0,1.0,7,-122.21,47.3089,1,2014,1200,0.0,4
230000.0,3,1.0,1.0,7,-122.306,47.3343,2,2015,1250,0.0,3
385000.0,4,2.0,1.0,7,-122.341,47.7025,57,2014,860,0.0,4
285000.0,5,2.0,2.0,8,-122.169,47.3266,40,2014,2270,0.0,2
252700.0,2,2.0,1.0,7,-122.166,47.3533,18,2014,1070,0.0,2
329000.0,3,2.0,2.0,8,-122.172,47.3739,18,2014,2450,0.0,2
233000.0,3,2.0,2.0,6,-122.218,47.3048,1,2014,1710,0.0,4
937000.0,3,2.0,2.0,8,-122.36,47.6386,53,2014,1750,0.0,4
667000.0,3,1.0,2.0,8,-122.314,47.6221,48,2014,1400,0.0,4
438000.0,3,2.0,1.0,7,-122.304,47.695,49,2014,790,0.0,4
719000.0,4,2.0,2.0,8,-122.11,47.7073,28,2015,2570,0.0,1
580500.0,3,2.0,2.0,8,-122.07,47.5391,15,2014,2320,0.0,1
280000.0,2,2.0,3.0,7,-122.357,47.7274,57,2014,1190,0.0,1
687500.0,4,2.0,2.0,7,-122.368,47.6823,51,2014,1510,0.0,4
535000.0,3,1.0,2.0,8,-122.375,47.6889,51,2014,1090,0.0,4
322500.0,4,3.0,1.0,7,-122.157,47.4276,32,2014,1280,0.0,2
696000.0,3,2.0,2.0,8,-122.31,47.6827,49,2014,1510,0.0,4
550000.0,4,1.0,1.0,5,-122.132,47.6621,28,2014,930,0.0,4
640000.0,4,2.0,2.0,8,-122.362,47.6702,45,2014,2360,0.0,4
240000.0,4,1.0,1.0,7,-122.282,47.3341,0,2015,890,0.0,3
605000.0,4,2.0,2.0,8,-122.18,47.5301,31,2014,2620,0.0,2
625000.0,4,2.0,2.0,9,-122.027,47.6145,37,2014,2570,0.0,1
775000.0,4,2.0,1.0,8,-122.347,47.445,63,2014,2600,0.0,2
861990.0,5,3.0,2.0,9,-122.016,47.6848,29,2014,3595,0.0,1
685000.0,3,1.0,2.0,7,-122.364,47.6413,53,2014,1570,0.0,4
309000.0,3,1.0,1.0,6,-122.175,47.4485,32,2014,920,0.0,3
488000.0,3,2.0,2.0,8,-121.977,47.7443,11,2014,3160,0.0,1
210490.0,3,1.0,1.0,6,-122.371,47.3066,13,2015,990,0.0,3
785000.0,4,2.0,2.0,9,-122.151,47.6194,6,2014,2290,0.0,2
450000.0,3,2.0,1.0,7,-122.301,47.6796,49,2015,1250,0.0,3
1350000.0,3,2.0,1.0,9,-122.451,47.4041,35,2015,2165,2.0,3
228000.0,3,1.0,1.0,7,-122.322,47.4258,61,2014,1190,0.0,3
345000.0,5,2.0,1.0,8,-122.189,47.4934,31,2015,1640,0.0,3
600000.0,3,2.0,1.0,7,-122.384,47.6808,51,2014,1000,0.0,4
585000.0,2,2.0,1.0,7,-122.369,47.6989,51,2015,990,0.0,2
920000.0,5,2.0,2.0,8,-122.281,47.6571,43,2015,2130,0.0,4
885000.0,4,2.0,2.0,9,-122.29,47.6597,43,2014,2830,0.0,2
292500.0,4,2.0,2.0,7,-122.114,47.3663,26,2014,2250,0.0,1
301000.0,3,2.0,2.0,8,-122.122,47.3663,26,2015,2420,0.0,1
951000.0,5,3.0,2.0,8,-122.116,47.588,7,2014,3250,4.0,3
430000.0,4,3.0,2.0,8,-122.149,47.5059,33,2015,1850,0.0,2
650000.0,3,2.0,1.0,8,-122.339,47.4336,63,2014,1590,3.0,3
289000.0,3,2.0,1.0,7,-122.335,47.4366,61,2014,1260,0.0,3
505000.0,3,2.0,2.0,8,-122.344,47.4428,63,2014,2519,0.0,3
549000.0,3,2.0,3.0,8,-122.32,47.6765,49,2014,1540,0.0,1
425000.0,3,2.0,1.0,7,-122.297,47.6113,54,2014,1110,0.0,2
317625.0,3,3.0,2.0,7,-122.304,47.5747,59,2014,1770,0.0,4
975000.0,4,2.0,2.0,10,-122.192,47.5815,3,2014,2720,0.0,2
287000.0,4,2.0,2.0,7,-122.257,47.3378,0,2014,2240,0.0,1
204000.0,3,1.0,1.0,7,-122.11,47.3621,26,2014,1000,0.0,3
1330000.0,5,2.0,1.0,8,-122.215,47.6303,3,2014,1600,0.0,3
1040000.0,5,3.0,1.0,11,-122.16,47.6525,4,2014,3070,0.0,3
325000.0,3,2.0,1.0,7,-122.179,47.7362,22,2015,1260,0.0,3
571000.0,4,2.0,2.0,7,-122.287,47.7168,55,2014,2250,0.0,4
360000.0,4,2.0,2.0,8,-122.036,47.3608,23,2014,2380,0.0,1
349000.0,3,2.0,1.0,7,-122.073,47.3511,26,2015,1090,0.0,3
832500.0,4,4.0,2.0,10,-121.987,47.5822,38,2014,2390,0.0,2
380000.0,4,2.0,1.0,7,-122.125,47.6034,7,2014,880,0.0,3
480000.0,3,1.0,1.0,7,-122.394,47.5636,50,2015,1040,0.0,4
410000.0,3,1.0,1.0,7,-122.34,47.7073,57,2014,910,0.0,3
720000.0,4,2.0,2.0,10,-122.025,47.342,8,2015,3450,0.0,1
390000.0,3,2.0,2.0,8,-122.008,47.3512,23,2014,2350,0.0,1
360000.0,4,2.0,2.0,7,-122.031,47.349,23,2014,1900,0.0,2
355000.0,2,1.0,1.0,7,-122.291,47.5474,52,2014,1010,0.0,4
356000.0,3,2.0,1.0,8,-122.149,47.4811,33,2015,1680,0.0,3
315000.0,3,1.0,1.0,6,-122.31,47.7264,55,2014,960,0.0,3
940000.0,3,2.0,2.0,9,-122.365,47.6337,53,2014,1900,0.0,4
305000.0,5,2.0,2.0,7,-122.189,47.2909,40,2014,2660,0.0,3
461000.0,3,3.0,2.0,9,-122.199,47.5228,31,2014,1980,0.0,1
215000.0,2,2.0,2.0,7,-122.194,47.518,31,2014,1610,0.0,2
335000.0,2,2.0,2.0,7,-122.387,47.5394,58,2014,765,0.0,1
243500.0,4,2.0,2.0,7,-122.372,47.2897,13,2014,1980,0.0,2
1100000.0,5,3.0,2.0,10,-122.391,47.6506,69,2015,3520,0.0,1
153000.0,3,1.0,1.0,7,-122.351,47.322,13,2015,1200,0.0,3
430000.0,3,2.0,1.0,8,-122.386,47.687,51,2014,1290,0.0,4
700000.0,3,2.0,1.0,8,-122.386,47.687,51,2014,1290,0.0,4
905000.0,4,2.0,1.0,7,-122.249,47.5873,25,2014,2390,0.0,4
247500.0,3,2.0,1.0,7,-122.277,47.3576,20,2015,1960,0.0,3
199000.0,4,2.0,1.0,7,-122.378,47.3036,13,2014,1160,0.0,2
314000.0,3,2.0,1.0,7,-121.958,47.4109,23,2014,1210,0.0,2
437500.0,3,2.0,2.0,9,-121.714,47.4838,27,2014,2320,2.0,2
850830.0,3,2.0,2.0,9,-122.315,47.6415,41,2014,1270,0.0,4
555000.0,3,2.0,2.0,7,-122.372,47.6775,51,2014,1440,0.0,4
699950.0,3,2.0,2.0,8,-122.08,47.7731,39,2014,2190,0.0,2
1090000.0,3,2.0,2.0,8,-122.196,47.5814,3,2014,2920,0.0,4
290000.0,3,1.0,1.0,7,-122.184,47.4375,32,2014,1210,0.0,3
375000.0,3,2.0,1.0,8,-122.133,47.4431,32,2015,1460,0.0,2
460000.0,3,1.0,2.0,7,-122.38,47.6878,51,2014,1170,0.0,4
188500.0,2,2.0,1.0,8,-122.322,47.3813,68,2014,1240,0.0,2
